Code,Date,Fy,Indicator,Units,Values,BasinOrZone,Supplier,WatercourseOrGeographicArea,Region,Environment,SubBasinOrSubZone,SubBasinArea,SubBasinProportionOfBasin,Lat,Long,Notes,Wqo,Lor,Sf,Failure,Stat
SFC-T2,2024-11-12T00:00:01Z,2025,FRP,mg.L,0.25,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.08,0.005,NA,high,median
SFC-T2,2024-11-12T00:00:01Z,2025,High_DO,%.Sat,68.7,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,100,0.5,120,high,median
SFC-T2,2024-11-12T00:00:01Z,2025,Low_DO,%.Sat,68.7,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,85,0.5,70,low,median
SFC-T2,2024-11-12T00:00:01Z,2025,TP,mg.L,0.48,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.025,0.02,0.46,high,median
SFC-T2,2024-11-12T00:00:01Z,2025,Turbidity,NTU,95.6,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,20,0.5,35,high,median
SFC-T2,2024-12-10T00:00:01Z,2025,DIN,mg.L,0.1825,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.02,0.005,0.38,high,median
SFC-T2,2024-12-10T00:00:01Z,2025,FRP,mg.L,0.032,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.08,0.005,NA,high,median
SFC-T2,2024-12-10T00:00:01Z,2025,High_DO,%.Sat,132.9,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,100,0.5,120,high,median
SFC-T2,2024-12-10T00:00:01Z,2025,Low_DO,%.Sat,132.9,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,85,0.5,70,low,median
SFC-T2,2024-12-10T00:00:01Z,2025,TP,mg.L,0.22,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.025,0.02,0.46,high,median
SFC-T2,2024-12-10T00:00:01Z,2025,Turbidity,NTU,41.6,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,20,0.5,35,high,median
SFC-T2,2025-01-14T00:00:01Z,2025,DIN,mg.L,0.037500000000000006,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.02,0.005,0.38,high,median
SFC-T2,2025-01-14T00:00:01Z,2025,FRP,mg.L,0.51,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.08,0.005,NA,high,median
SFC-T2,2025-01-14T00:00:01Z,2025,TP,mg.L,0.67,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.025,0.02,0.46,high,median
SFC-T2,2025-01-14T00:00:01Z,2025,Turbidity,NTU,25,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,20,0.5,35,high,median
SFC-T2,2025-04-29T00:00:01Z,2025,DIN,mg.L,0.034,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.02,0.005,0.38,high,median
SFC-T2,2025-04-29T00:00:01Z,2025,FRP,mg.L,0.026,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.08,0.005,NA,high,median
SFC-T2,2025-04-29T00:00:01Z,2025,High_DO,%.Sat,73.3,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,100,0.5,120,high,median
SFC-T2,2025-04-29T00:00:01Z,2025,Low_DO,%.Sat,73.3,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,85,0.5,70,low,median
SFC-T2,2025-04-29T00:00:01Z,2025,TP,mg.L,0.33,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.025,0.02,0.46,high,median
SFC-T2,2025-04-29T00:00:01Z,2025,Turbidity,NTU,103.9,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,20,0.5,35,high,median
SFC-T2,2025-05-19T00:00:01Z,2025,DIN,mg.L,0.105,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.02,0.005,0.38,high,median
SFC-T2,2025-05-19T00:00:01Z,2025,FRP,mg.L,0.066,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.08,0.005,NA,high,median
SFC-T2,2025-05-19T00:00:01Z,2025,High_DO,%.Sat,83.2,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,100,0.5,120,high,median
SFC-T2,2025-05-19T00:00:01Z,2025,Low_DO,%.Sat,83.2,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,85,0.5,70,low,median
SFC-T2,2025-05-19T00:00:01Z,2025,TP,mg.L,0.31,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.025,0.02,0.46,high,median
SFC-T2,2025-05-19T00:00:01Z,2025,Turbidity,NTU,92,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,20,0.5,35,high,median
SFC-T2,2025-06-24T00:00:01Z,2025,DIN,mg.L,0.005,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.02,0.005,0.38,high,median
SFC-T2,2025-06-24T00:00:01Z,2025,FRP,mg.L,0.033,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,0.08,0.005,NA,high,median
SFC-T2,2025-06-24T00:00:01Z,2025,High_DO,%.Sat,111.8,Ross,Jet Zero,Stuart Inside TSDA,DT,Estuarine,Stuart Creek,15.9533669958643,0.11524411160792,-19.3140880295,146.851435219,NA,100,0.5,120,high,median
