Code,Date,Fy,Indicator,Units,Values,BasinOrZone,Supplier,WatercourseOrGeographicArea,Region,Environment,SubBasinOrSubZone,SubBasinArea,SubBasinProportionOfBasin,Lat,Long,Notes,Wqo,Lor,Sf,Failure,Stat
SFC-R1,2025-05-20T00:00:01Z,2025,High_DO,%.Sat,29.4,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,110,0.5,120,high,median
SFC-R1,2025-05-20T00:00:01Z,2025,Low_DO,%.Sat,29.4,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,85,0.5,70,low,median
SFC-R1,2025-05-20T00:00:01Z,2025,TP,mg.L,0.1,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.05,0.02,0.46,high,median
SFC-R1,2025-06-24T00:00:01Z,2025,DIN,mg.L,0.005,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.08,0.005,0.38,high,median
SFC-R1,2025-06-24T00:00:01Z,2025,FRP,mg.L,0.028,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.02,0.005,NA,high,median
SFC-R1,2025-06-24T00:00:01Z,2025,High_DO,%.Sat,6.1,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,110,0.5,120,high,median
SFC-R1,2025-06-24T00:00:01Z,2025,Low_DO,%.Sat,6.1,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,85,0.5,70,low,median
SFC-R1,2025-06-24T00:00:01Z,2025,TP,mg.L,0.13,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.05,0.02,0.46,high,median
SFC-R1,2025-06-24T00:00:01Z,2025,Turbidity,NTU,4.9,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,22,0.5,35,high,median
SFC-R2,2024-12-10T00:00:01Z,2025,DIN,mg.L,0.094,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,0.08,0.005,0.38,high,median
SFC-R2,2024-12-10T00:00:01Z,2025,FRP,mg.L,0.07,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,0.02,0.005,NA,high,median
SFC-R2,2024-12-10T00:00:01Z,2025,High_DO,%.Sat,101.8,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,110,0.5,120,high,median
SFC-R2,2024-12-10T00:00:01Z,2025,Low_DO,%.Sat,101.8,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,85,0.5,70,low,median
SFC-R2,2024-12-10T00:00:01Z,2025,TP,mg.L,0.37,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,0.05,0.02,0.46,high,median
SFC-R2,2024-12-10T00:00:01Z,2025,Turbidity,NTU,20.5,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,22,0.5,35,high,median
SFC-R2,2025-01-14T00:00:01Z,2025,DIN,mg.L,0.247,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,0.08,0.005,0.38,high,median
SFC-R2,2025-01-14T00:00:01Z,2025,FRP,mg.L,0.24,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,0.02,0.005,NA,high,median
SFC-R2,2025-01-14T00:00:01Z,2025,TP,mg.L,0.38,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,0.05,0.02,0.46,high,median
SFC-R2,2025-01-14T00:00:01Z,2025,Turbidity,NTU,4.1,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,22,0.5,35,high,median
SFC-R2,2025-04-29T00:00:01Z,2025,DIN,mg.L,0.871,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,0.08,0.005,0.38,high,median
SFC-R2,2025-04-29T00:00:01Z,2025,FRP,mg.L,0.074,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,0.02,0.005,NA,high,median
SFC-R2,2025-04-29T00:00:01Z,2025,TP,mg.L,0.18,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,0.05,0.02,0.46,high,median
SFC-R2,2025-05-20T00:00:01Z,2025,DIN,mg.L,16.7,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,0.08,0.005,0.38,high,median
SFC-R2,2025-05-20T00:00:01Z,2025,FRP,mg.L,2.7,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,0.02,0.005,NA,high,median
SFC-R2,2025-05-20T00:00:01Z,2025,High_DO,%.Sat,7.1,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,110,0.5,120,high,median
SFC-R2,2025-05-20T00:00:01Z,2025,Low_DO,%.Sat,7.1,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,85,0.5,70,low,median
SFC-R2,2025-05-20T00:00:01Z,2025,TP,mg.L,6.2,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,0.05,0.02,0.46,high,median
SFC-R2,2025-05-20T00:00:01Z,2025,Turbidity,NTU,26.4,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,22,0.5,35,high,median
SFC-R2,2025-06-24T00:00:01Z,2025,DIN,mg.L,0.4,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,0.08,0.005,0.38,high,median
SFC-R2,2025-06-24T00:00:01Z,2025,FRP,mg.L,0.4,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,0.02,0.005,NA,high,median
SFC-R2,2025-06-24T00:00:01Z,2025,High_DO,%.Sat,23.8,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,110,0.5,120,high,median
SFC-R2,2025-06-24T00:00:01Z,2025,Low_DO,%.Sat,23.8,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,85,0.5,70,low,median
SFC-R2,2025-06-24T00:00:01Z,2025,TP,mg.L,0.55,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,0.05,0.02,0.46,high,median
SFC-R2,2025-06-24T00:00:01Z,2025,Turbidity,NTU,3.9,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3249883478,146.863409689,NA,22,0.5,35,high,median
